"P001001","P006001","P006002","P006003","P006005","P006008","P007010","H011001","H011002","H011003","H011004","H011006","H011009","P148B009","P148D017","PCT038016","PCT038017","PCT038018","PCT038019","NAME","state","county",
"43671","43671","34960","7481","265","525","394","16003","12935","10761","1927","27","134","32","0","240","53","53","44","Autauga County","01","001",
"140415","140415","122349","14233","535","1712","2341","55336","44036","39807","3367","81","418","60","38","709","316","386","433","Baldwin County","01","003",
"29038","29038","14909","13487","30","219","509","10409","7615","4720","2837","0","30","9","0","79","23","43","30","Barbour County","01","005",
"20826","20826","15928","4632","12","119","181","7421","5951","4958","941","8","29","2","0","50","6","8","6","Bibb County","01","007",
"51024","51024","48098","563","114","552","2629","19265","16084","15625","131","38","128","0","7","177","59","41","15","Blount County","01","009",
"11714","11714","3090","8444","10","80","359","3986","2967","884","2045","7","15","32","0","10","8","0","0","Bullock County","01","011",
"21399","21399","12467","8814","54","47","118","8398","6398","4311","2064","11","12","7","0","32","32","18","45","Butler County","01","013",
"112249","112249","88908","20458","671","1138","1912","45307","32845","28251","4039","115","267","175","43","412","96","137","177","Calhoun County","01","015",
"36583","36583","22263","14019","10","147","274","14522","10992","7653","3265","0","42","10","0","68","7","48","31","Chambers County","01","017",
"23988","23988","22357","1286","34","140","232","9719","7942","7507","374","5","15","0","2","55","19","2","21","Cherokee County","01","019",
"39593","39593","34200","4270","58","435","1016","15287","12571","11372","1045","0","71","10","0","159","40","9","17","Chilton County","01","021",
"15922","15922","8797","6941","15","89","144","6363","5494","3219","2233","2","24","16","0","31","13","8","21","Choctaw County","01","023",
"27867","27867","15644","11987","88","54","173","10578","8584","5233","3288","21","15","19","0","141","17","25","29","Clarke County","01","025",
"14254","14254","11647","2369","4","130","207","5765","4451","3860","549","0","36","11","0","31","7","6","5","Clay County","01","027",
"14123","14123","13291","513","0","181","160","5590","4496","4309","134","0","37","4","0","23","18","11","9","Cleburne County","01","029",
"43615","43615","33763","8113","378","773","1131","17421","12436","10547","1605","35","131","64","2","134","74","50","76","Coffee County","01","031",
"54984","54984","44888","9254","124","384","539","22461","17006","14665","2154","26","117","54","10","274","38","57","79","Colbert County","01","033",
"14089","14089","7794","6177","18","54","66","5792","4695","2870","1795","17","0","39","0","31","9","0","0","Conecuh County","01","035",
"12202","12202","7787","4311","0","52","44","4682","3971","2738","1196","0","19","17","0","8","0","10","15","Coosa County","01","037",
"37631","37631","32409","4553","52","257","382","15640","12155","10961","1073","4","75","17","0","121","25","25","73","Covington County","01","039",
"13665","13665","10076","3466","0","51","107","5577","4274","3355","906","0","13","18","0","20","6","17","15","Crenshaw County","01","041",
"77483","77483","74553","820","238","1034","1576","30706","23971","23413","182","29","221","0","15","247","78","106","80","Cullman County","01","043",
"49129","49129","36435","10150","500","1137","1594","18878","12127","10132","1683","73","158","59","2","110","20","10","46","Dale County","01","045",
"46365","46365","16451","29411","117","224","231","17841","11720","5747","5868","21","66","214","6","102","29","22","81","Dallas County","01","047",
"64452","64452","59769","1050","106","1169","3449","25113","19771","19024","194","27","248","2","0","139","40","26","88","DeKalb County","01","049",
"65874","65874","50766","13671","224","686","745","22737","18507","15826","2403","49","117","53","0","260","203","98","102","Elmore County","01","051",
"38440","38440","24828","11683","110","711","405","14297","11018","8069","2425","19","141","111","0","118","26","58","8","Escambia County","01","053",
"103459","103459","85640","14672","361","1462","1651","41615","30957","27607","2937","61","197","90","20","414","134","102","128","Etowah County","01","055",
"18495","18495","16023","2225","72","93","96","7493","5786","5166","585","0","25","6","0","31","13","0","0","Fayette County","01","057",
"31223","31223","28094","1301","65","290","2238","12259","9110","8687","284","7","52","5","0","96","32","13","13","Franklin County","01","059",
"25764","25764","22308","2978","30","169","319","10477","8446","7571","779","20","39","0","12","52","24","9","13","Geneva County","01","061",
"9974","9974","1875","8063","5","28","56","3931","2972","748","2213","3","8","58","0","11","13","3","0","Greene County","01","063",
"17185","17185","6815","10160","11","78","127","6415","5146","2345","2746","0","15","47","0","39","3","4","9","Hale County","01","065",
"16310","16310","10840","5190","0","130","312","6525","5279","3814","1416","0","24","22","0","54","20","36","0","Henry County","01","067",
"88787","88787","65175","21567","500","766","982","35834","24893","20493","3930","98","188","158","47","397","218","117","225","Houston County","01","069",
"53926","53926","49638","2122","99","1193","619","21615","16845","15797","543","32","303","2","4","158","30","33","55","Jackson County","01","071",
"662047","662047","385011","259123","5793","6100","10486","263265","174982","121279","51377","745","978","2046","684","4072","1955","2051","2535","Jefferson County","01","073",
"15904","15904","13830","1839","38","91","131","6468","4972","4417","510","6","11","4","0","22","11","0","4","Lamar County","01","075",
"87966","87966","77487","8775","302","792","819","36088","26432","24450","1670","39","198","118","6","423","139","105","141","Lauderdale County","01","077",
"34803","34803","27037","4603","58","1192","230","13538","11246","9074","1361","13","381","32","6","143","43","14","39","Lawrence County","01","079",
"115092","115092","85192","25753","1834","1265","1944","45702","28376","22327","5486","270","166","374","136","644","288","193","154","Lee County","01","081",
"65676","65676","54838","8841","308","716","1452","24688","19083","16989","1796","54","150","111","24","400","143","75","74","Limestone County","01","083",
"13473","13473","3503","9896","0","44","109","4909","4096","1324","2751","0","11","13","0","7","10","6","18","Lowndes County","01","085",
"24105","24105","3328","20410","150","172","164","8950","6022","1181","4795","13","15","314","23","44","4","2","5","Macon County","01","087",
"276700","276700","199317","62240","4706","5914","5486","109955","76816","63175","11177","741","1043","1296","246","2536","1347","936","793","Madison County","01","089",
